('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Aenar', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Long', 'Summer'))
('fire.txt', 'PERSON', ('Lord', 'Aenar'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Bay'))
('fire.txt', 'PERSON', ('Claw', 'Isle'))
('fire.txt', 'PERSON', ('Gaemon', 'Targaryen'))
('fire.txt', 'PERSON', ('Lady', 'Valaena'))
('fire.txt', 'ORGANIZATION', ('House', 'Velaryon'))
('fire.txt', 'ORGANIZATION', ('Black', 'Dread'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Painted', 'Table'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Aegon'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Redwyne'))
('fire.txt', 'ORGANIZATION', ('Casterly', 'Rock'))
('fire.txt', 'ORGANIZATION', ('House', 'Durrandon'))
('fire.txt', 'PERSON', ('Cape', 'Wrath'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'PERSON', ('Garse', 'VII', 'Gardener'))
('fire.txt', 'ORGANIZATION', ('House', 'Hoare'))
('fire.txt', 'PERSON', ('Harwyn', 'Hardhand'))
('fire.txt', 'ORGANIZATION', ('Gods', 'Eye'))
('fire.txt', 'PERSON', ('Black', 'Harren'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('King', 'Argilac'))
('fire.txt', 'PERSON', ('Lord', 'Aegon'))
('fire.txt', 'ORGANIZATION', ('Gods', 'Eye'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'PERSON', ('Storm', 'King'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Lord', 'Aegon'))
('fire.txt', 'PERSON', ('Lord', 'Aegon'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'PERSON', ('Claw', 'Isle'))
('fire.txt', 'PERSON', ('Lord', 'Bar', 'Emmon'))
('fire.txt', 'PERSON', ('Sharp', 'Point'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Massey'))
('fire.txt', 'PERSON', ('Lord', 'Aegon'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'ORGANIZATION', ('Hundred', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Darklyn'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Mooton'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'ORGANIZATION', ('Black', 'Dread'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'PERSON', ('Dark', 'Sister'))
('fire.txt', 'ORGANIZATION', ('Sunset', 'Sea'))
('fire.txt', 'ORGANIZATION', ('Black', 'Dread'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('High', 'Hill'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'PERSON', ('Daemon', 'Velaryon'))
('fire.txt', 'PERSON', ('Crispian', 'Celtigar'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'ORGANIZATION', ('All', 'Westeros'))
('fire.txt', 'PERSON', ('Casterly', 'Rock'))
('fire.txt', 'PERSON', ('King', 'Loren'))
('fire.txt', 'PERSON', ('Ronnel', 'Arryn'))
('fire.txt', 'ORGANIZATION', ('Green', 'Fork'))
('fire.txt', 'PERSON', ('Black', 'Harren'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Daemon', 'Velaryon'))
('fire.txt', 'PERSON', ('Blackwater', 'Bay'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'ORGANIZATION', ('Gods', 'Eye'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Daemon', 'Velaryon'))
('fire.txt', 'ORGANIZATION', ('Gods', 'Eye'))
('fire.txt', 'ORGANIZATION', ('Wailing', 'Willows'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'ORGANIZATION', ('Wailing', 'Willows'))
('fire.txt', 'ORGANIZATION', ('Red', 'Mountains'))
('fire.txt', 'ORGANIZATION', ('Three', 'Sisters'))
('fire.txt', 'PERSON', ('Lady', 'Marla', 'Sunderland'))
('fire.txt', 'ORGANIZATION', ('House', 'Hoare'))
('fire.txt', 'PERSON', ('Lord', 'Edmyn', 'Tully'))
('fire.txt', 'PERSON', ('Edmyn', 'Tully'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'PERSON', ('Black', 'Harren'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'PERSON', ('Edmyn', 'Tully'))
('fire.txt', 'PERSON', ('Lord', 'Paramount'))
('fire.txt', 'PERSON', ('Edmyn', 'Tully'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Errol'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'PERSON', ('Lady', 'Argella'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Lady', 'Argella'))
('fire.txt', 'ORGANIZATION', ('Bloody', 'Gate'))
('fire.txt', 'PERSON', ('Queen', 'Sharra'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'PERSON', ('Sharra', 'Arryn'))
('fire.txt', 'PERSON', ('Mern', 'IX'))
('fire.txt', 'ORGANIZATION', ('House', 'Gardener'))
('fire.txt', 'PERSON', ('Castle', 'Goldengrove'))
('fire.txt', 'ORGANIZATION', ('House', 'Rowan'))
('fire.txt', 'ORGANIZATION', ('Gods', 'Eye'))
('fire.txt', 'PERSON', ('Stoney', 'Sept'))
('fire.txt', 'PERSON', ('Crackclaw', 'Point'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'ORGANIZATION', ('King', 'Loren'))
('fire.txt', 'PERSON', ('Lord', 'Oakheart'))
('fire.txt', 'PERSON', ('Jon', 'Mooton'))
('fire.txt', 'PERSON', ('Mern', 'IX'))
('fire.txt', 'ORGANIZATION', ('House', 'Gardener'))
('fire.txt', 'ORGANIZATION', ('Casterly', 'Rock'))
('fire.txt', 'PERSON', ('Harlan', 'Tyrell'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Paramount'))
('fire.txt', 'ORGANIZATION', ('House', 'Gardener'))
('fire.txt', 'ORGANIZATION', ('Black', 'Dread'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'PERSON', ('Moat', 'Cailin'))
('fire.txt', 'PERSON', ('Brandon', 'Snow'))
('fire.txt', 'PERSON', ('Brandon', 'Snow'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Stark'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Bloody', 'Gate'))
('fire.txt', 'PERSON', ('Visenya', 'Targaryen'))
('fire.txt', 'PERSON', ('Ronnel', 'Arryn'))
('fire.txt', 'PERSON', ('Lady', 'Sharra'))
('fire.txt', 'ORGANIZATION', ('Falcon', 'Crown'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Visenya', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Red', 'Mountains'))
('fire.txt', 'ORGANIZATION', ('House', 'Allyrion'))
('fire.txt', 'ORGANIZATION', ('Planky', 'Town'))
('fire.txt', 'ORGANIZATION', ('House', 'Martell'))
('fire.txt', 'ORGANIZATION', ('Yellow', 'Toad'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Meria'))
('fire.txt', 'PERSON', ('Princess', 'Meria'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'ORGANIZATION', ('Faith', 'Militant'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('High', 'Holiness'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'PERSON', ('Manfred', 'Hightower'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Lord', 'Hightower'))
('fire.txt', 'PERSON', ('Lord', 'Manfred'))
('fire.txt', 'PERSON', ('Lord', 'Hightower'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('High', 'Holiness'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('First', 'Men'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
